Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track,image_url
"Mann Bharryaa 2.0 (From ""Shershaah"")","Mann Bharryaa 2.0 (From ""Shershaah"")",B Praak,2021-08-15,INS172102779,"4,424",19.9,"149,351,877","15,576","5,847,920",61.0,"365,670,176","5,075,644","72,976","4,375,481","60,033,835","160,130,930",10.0,170,0,1.0,"1,097",3.0,0,0,0,"137,705",0.0,0,https://i.scdn.co/image/ab67616d0000b273173a36a54fd89a650240ceac
Feel So Close - Radio Edit,Dance Hitlist 2012.1,Calvin Harris,2011-01-01,GBARL1100748,"4,411",19.9,"991,382,346","187,432","87,928,081",79.0,"7,412,771","63,854","183,112","76,790,230","502,553,641",0,148.0,"57,577",0,84.0,"942,311",29.0,"426,156,682","480,102",0,"7,721,049",0.0,0,https://i.scdn.co/image/ab67616d0000b273dcef905cb144d4867119850b
Got What I Got,From the album '9',Jason Aldean,2019-10-11,QMRSZ1901461,"4,414",19.9,"184,488,165","22,640","3,468,330",59.0,"220,205,995","1,704,011","29,900","2,111,239","22,309,447","75,939,058",8.0,0,48,3.0,"1,846",7.0,"367,697,976","83,391",0,0,0.0,0,https://i.scdn.co/image/ab67616d0000b2732a92ca2bb7198404ca5dceca
Instant Crush (feat. Julian Casablancas),Random Access Memories,Daft Punk,2013-05-17,USQX91300105,"4,413",19.9,"587,054,803","130,991","15,108,911",70.0,"830,977,726","4,575,683","48,128","9,438,211","82,939,552","7,491,045",74.0,"20,738",1,78.0,"819,839",23.0,"13,761,386","20,411",0,"7,241,562",0.0,0,https://i.scdn.co/image/ab67616d0000b2739b9b36b0e22870b9f542d937
Young,Vibes,Vacations,2016-12-09,SEYOK1669274,"4,431",19.8,"597,591,280","136,878","25,723,483",74.0,"105,282,082","1,803,716","454,382","226,996,966","1,487,039,791",0,15.0,269,10,0.0,0,8.0,"4,444,885","5,086","23,290,198","1,723,404",0.0,0,https://i.scdn.co/image/ab67616d0000b2739c93931e7cfa4d8216056795
"Genius (feat. Sia, Diplo, and Labrinth)",Genius,Sia,2018-05-03,USQX91800798,"4,449",19.8,"563,680,273","82,163","14,384,727",71.0,"403,337,582","4,716,385","832,932","53,453,411","522,523,747","14,782,080",0.0,"4,805",0,0.0,0,0.0,0,0,0,0,0.0,0,https://i.scdn.co/image/ab67616d0000b2733f159ae07dd556323f39f47b
Holy Ghost,Holy Ghost,Omah Lay,2023-11-09,USWB12306574,"4,426",19.8,"61,390,970","11,876","5,284,858",0.0,"28,274,389","310,343",0,"1,794,140","11,575,782","49,418,688",45.0,"3,642",119,16.0,"551,854",46.0,"1,898,709",356,0,0,0.0,0,https://i.scdn.co/image/ab67616d0000b273ca454be2b33af924e173359d
red sky,american dream,21 Savage,2024-01-12,USSM12309172,"4,450",19.8,"38,445,811","12,924","1,883,136",0.0,"2,609,366","32,715",0,0,0,0,2.0,34,0,0.0,0,0.0,"394,249",230,0,"72,376",0.0,1,https://i.scdn.co/image/ab67616d0000b273bbdceba2bf1867d4966d0347
Puntos Suspensivos,Ubuntu,Piso 21,2018-05-11,MXF151800123,"4,430",19.8,"405,331,822","28,057","6,384,408",65.0,"773,003,656","2,296,316","14,540","979,041","10,345,597","146,544,976",9.0,"3,748",0,15.0,"111,810",6.0,"8,181,531","1,713",0,"718,484",0.0,0,https://i.scdn.co/image/ab67616d0000b2738cf2d98b8cee7a46488a3c25
Taboo,Meet the Orphans (Deluxe Edition),Don Omar,2010-01-01,USUM71025734,"4,451",19.8,"210,904,340","32,972","17,062,785",66.0,"1,096,124,254","3,571,813","4,471","2,661,983","22,688,824","159,360,588",11.0,"5,612",30,16.0,"182,534",20.0,"270,829,417","137,297",0,"1,655,972",0.0,0,https://i.scdn.co/image/ab67616d0000b2734640a26eb27649006be29a94
MALA SANTA,MALA SANTA,Becky G,2019-10-11,USRC11902848,"4,446",19.8,"189,969,086","27,387","6,969,852",54.0,"474,789,534","3,191,466","778,532","15,115,643","252,838,869","39,059,546",42.0,"4,856",108,13.0,"66,482",11.0,"19,661,789","7,367",0,"601,436",0.0,0,https://i.scdn.co/image/ab67616d0000b2739c8890c824bb9be2360e79c1
